timestamp,eda_level_real
2024-07-13T06:42:00.000+07:00,8.82
2024-07-13T06:43:00.000+07:00,8.6
2024-07-13T06:44:00.000+07:00,8.47
2024-07-13T06:45:00.000+07:00,8.41
2024-07-13T06:46:00.000+07:00,8.41
2024-07-13T06:47:00.000+07:00,8.42
2024-07-13T06:48:00.000+07:00,8.39
2024-07-13T06:49:00.000+07:00,8.35
2024-07-13T06:50:00.000+07:00,8.27
2024-07-13T06:51:00.000+07:00,8.17
2024-07-13T06:52:00.000+07:00,8.08
2024-07-13T06:53:00.000+07:00,8.01
2024-07-13T06:54:00.000+07:00,7.96
2024-07-13T06:55:00.000+07:00,7.94
2024-07-13T06:56:00.000+07:00,7.95
2024-07-13T06:57:00.000+07:00,7.94
2024-07-13T06:58:00.000+07:00,7.89
2024-07-13T06:59:00.000+07:00,7.78
2024-07-13T07:00:00.000+07:00,7.6
2024-07-13T07:01:00.000+07:00,7.37
2024-07-13T07:02:00.000+07:00,7.15
2024-07-13T07:03:00.000+07:00,6.99
2024-07-13T07:04:00.000+07:00,6.94
2024-07-13T07:05:00.000+07:00,6.95
2024-07-13T07:06:00.000+07:00,7.06
2024-07-13T07:07:00.000+07:00,7.36
2024-07-13T07:08:00.000+07:00,7.87
2024-07-13T07:09:00.000+07:00,8.44
2024-07-13T07:10:00.000+07:00,8.88
2024-07-13T07:11:00.000+07:00,9.05
2024-07-13T07:12:00.000+07:00,9.06
2024-07-13T07:13:00.000+07:00,9.02
2024-07-13T07:14:00.000+07:00,8.95
2024-07-13T07:15:00.000+07:00,8.82
2024-07-13T07:16:00.000+07:00,8.56
2024-07-13T07:17:00.000+07:00,8.31
2024-07-13T07:18:00.000+07:00,8.26
2024-07-13T07:19:00.000+07:00,8.54
2024-07-13T07:20:00.000+07:00,9.05
2024-07-13T07:21:00.000+07:00,9.35
2024-07-13T07:22:00.000+07:00,9.47
2024-07-13T07:23:00.000+07:00,9.54
2024-07-13T07:24:00.000+07:00,9.65
2024-07-13T07:25:00.000+07:00,9.75
2024-07-13T07:26:00.000+07:00,9.8
2024-07-13T07:27:00.000+07:00,9.84
2024-07-13T07:28:00.000+07:00,9.85
2024-07-13T07:29:00.000+07:00,9.82
2024-07-13T07:30:00.000+07:00,9.74
2024-07-13T07:31:00.000+07:00,9.63
2024-07-13T07:32:00.000+07:00,9.54
2024-07-13T07:33:00.000+07:00,9.46
2024-07-13T07:34:00.000+07:00,9.38
2024-07-13T07:35:00.000+07:00,9.32
2024-07-13T07:36:00.000+07:00,9.27
2024-07-13T07:37:00.000+07:00,9.23
2024-07-13T07:38:00.000+07:00,9.17
2024-07-13T07:39:00.000+07:00,9.08
2024-07-13T07:40:00.000+07:00,8.99
2024-07-13T07:41:00.000+07:00,8.9
2024-07-13T07:42:00.000+07:00,8.83
2024-07-13T07:43:00.000+07:00,8.77
2024-07-13T07:44:00.000+07:00,8.7
2024-07-13T07:45:00.000+07:00,8.56
2024-07-13T07:46:00.000+07:00,8.4
2024-07-13T07:47:00.000+07:00,8.29
2024-07-13T07:48:00.000+07:00,8.24
2024-07-13T07:49:00.000+07:00,8.19
2024-07-13T07:50:00.000+07:00,8.1
2024-07-13T07:51:00.000+07:00,7.96
2024-07-13T07:52:00.000+07:00,7.79
2024-07-13T07:53:00.000+07:00,7.57
2024-07-13T07:54:00.000+07:00,7.34
2024-07-13T07:55:00.000+07:00,7.21
2024-07-13T07:56:00.000+07:00,7.19
2024-07-13T07:57:00.000+07:00,7.22
2024-07-13T07:58:00.000+07:00,7.37
2024-07-13T07:59:00.000+07:00,7.59
2024-07-13T08:00:00.000+07:00,7.75
2024-07-13T08:01:00.000+07:00,7.86
2024-07-13T08:02:00.000+07:00,7.89
2024-07-13T08:03:00.000+07:00,7.95
2024-07-13T08:04:00.000+07:00,8.08
2024-07-13T08:05:00.000+07:00,8.2
2024-07-13T08:06:00.000+07:00,8.33
2024-07-13T08:07:00.000+07:00,8.56
2024-07-13T08:08:00.000+07:00,8.81
2024-07-13T08:09:00.000+07:00,8.93
2024-07-13T08:10:00.000+07:00,8.96
2024-07-13T08:11:00.000+07:00,8.91
2024-07-13T08:12:00.000+07:00,8.79
