body_response_start,body_response_end,logged_mood
2024-02-10T13:24:00.000+07:00,2024-02-10T13:27:00.000+07:00,no mood logged
2024-02-10T15:09:00.000+07:00,2024-02-10T15:12:00.000+07:00,no mood logged
2024-02-12T18:07:00.000+07:00,2024-02-12T18:14:00.000+07:00,no mood logged
2024-02-15T15:02:00.000+07:00,2024-02-15T15:15:00.000+07:00,no mood logged
2024-02-16T16:52:00.000+07:00,2024-02-16T16:55:00.000+07:00,no mood logged
2024-02-16T20:28:00.000+07:00,2024-02-16T20:37:00.000+07:00,no mood logged
2024-02-16T21:07:00.000+07:00,2024-02-16T21:13:00.000+07:00,no mood logged
2024-02-18T10:32:00.000+07:00,2024-02-18T10:36:01.000+07:00,no mood logged
2024-02-18T13:38:00.000+07:00,2024-02-18T13:47:00.000+07:00,no mood logged
2024-02-18T13:52:00.000+07:00,2024-02-18T13:58:00.000+07:00,no mood logged
2024-02-18T18:29:00.000+07:00,2024-02-18T18:36:00.000+07:00,no mood logged
2024-02-21T08:47:00.000+07:00,2024-02-21T08:50:00.000+07:00,no mood logged
2024-02-22T08:02:00.000+07:00,2024-02-22T08:05:00.000+07:00,no mood logged
2024-02-22T17:02:00.000+07:00,2024-02-22T17:06:00.000+07:00,no mood logged
2024-02-22T18:15:00.000+07:00,2024-02-22T18:32:00.000+07:00,no mood logged
2024-02-23T08:41:00.000+07:00,2024-02-23T08:48:00.000+07:00,no mood logged
2024-02-23T12:55:00.000+07:00,2024-02-23T12:59:00.000+07:00,no mood logged
2024-03-02T18:00:00.000+07:00,2024-03-02T18:04:00.000+07:00,no mood logged
2024-03-02T18:13:00.000+07:00,2024-03-02T18:18:00.000+07:00,no mood logged
2024-03-02T19:14:00.000+07:00,2024-03-02T19:17:00.000+07:00,no mood logged
2024-03-03T18:28:00.000+07:00,2024-03-03T18:35:00.000+07:00,no mood logged
2024-03-05T10:46:00.000+07:00,2024-03-05T10:49:00.000+07:00,no mood logged
2024-03-05T12:34:00.000+07:00,2024-03-05T12:37:00.000+07:00,no mood logged
2024-03-05T12:43:00.000+07:00,2024-03-05T12:54:00.000+07:00,no mood logged
2024-03-05T13:02:00.000+07:00,2024-03-05T13:12:00.000+07:00,no mood logged
2024-03-06T12:16:00.000+07:00,2024-03-06T12:26:00.000+07:00,no mood logged
2024-03-07T18:43:00.000+07:00,2024-03-07T18:49:00.000+07:00,no mood logged
2024-03-07T18:59:00.000+07:00,2024-03-07T19:02:00.000+07:00,no mood logged
2024-03-07T23:41:00.000+07:00,2024-03-07T23:45:00.000+07:00,no mood logged
2024-03-08T07:59:00.000+07:00,2024-03-08T08:12:00.000+07:00,no mood logged
2024-03-09T11:21:00.000+07:00,2024-03-09T11:24:00.000+07:00,no mood logged
2024-03-09T11:30:00.000+07:00,2024-03-09T11:35:00.000+07:00,no mood logged
2024-03-09T13:15:00.000+07:00,2024-03-09T13:19:00.000+07:00,no mood logged
2024-03-10T11:39:00.000+07:00,2024-03-10T11:45:00.000+07:00,no mood logged
2024-03-12T08:43:00.000+07:00,2024-03-12T08:55:00.000+07:00,no mood logged
2024-03-12T10:27:00.000+07:00,2024-03-12T10:30:00.000+07:00,no mood logged
2024-03-12T12:46:00.000+07:00,2024-03-12T13:12:00.000+07:00,no mood logged
2024-03-12T18:07:00.000+07:00,2024-03-12T18:12:00.000+07:00,no mood logged
2024-03-14T18:08:00.000+07:00,2024-03-14T18:16:00.000+07:00,no mood logged
2024-03-18T12:12:00.000+07:00,2024-03-18T12:24:01.000+07:00,no mood logged
2024-03-18T15:22:00.000+07:00,2024-03-18T15:25:00.000+07:00,no mood logged
2024-03-19T08:33:00.000+07:00,2024-03-19T08:40:00.000+07:00,no mood logged
2024-03-20T15:38:00.000+07:00,2024-03-20T15:45:00.000+07:00,no mood logged
2024-03-20T18:55:00.000+07:00,2024-03-20T19:06:00.000+07:00,no mood logged
2024-03-20T21:08:00.000+07:00,2024-03-20T21:11:00.000+07:00,no mood logged
2024-03-28T05:22:00.000+07:00,2024-03-28T05:34:00.000+07:00,no mood logged
2024-03-28T06:18:00.000+07:00,2024-03-28T06:23:00.000+07:00,no mood logged
2024-03-28T06:44:00.000+07:00,2024-03-28T06:57:00.000+07:00,no mood logged
2024-04-04T20:06:00.000+07:00,2024-04-04T20:11:00.000+07:00,no mood logged
2024-04-05T21:01:00.000+07:00,2024-04-05T21:09:00.000+07:00,no mood logged
2024-04-05T22:30:00.000+07:00,2024-04-05T22:34:00.000+07:00,no mood logged
2024-04-28T04:15:00.000+07:00,2024-04-28T04:18:00.000+07:00,no mood logged
2024-04-28T07:54:00.000+07:00,2024-04-28T07:59:00.000+07:00,no mood logged
2024-04-28T10:20:00.000+07:00,2024-04-28T10:26:00.000+07:00,no mood logged
2024-04-30T00:25:01.000+07:00,2024-04-30T00:31:00.000+07:00,no mood logged
2024-04-30T01:12:00.000+07:00,2024-04-30T01:20:00.000+07:00,no mood logged
