timestamp,stride length
2025-08-06T00:43:44Z,81.80
2025-08-06T00:43:47Z,82.30
2025-08-06T00:43:50Z,81.80
2025-08-06T00:43:53Z,82.20
2025-08-06T00:43:56Z,78.50
2025-08-06T00:43:59Z,78.50
2025-08-06T00:44:02Z,78.50
2025-08-06T00:44:05Z,78.50
2025-08-06T00:44:09Z,78.50
2025-08-06T00:44:12Z,78.50
2025-08-06T00:44:15Z,78.50
2025-08-06T00:44:18Z,78.50
2025-08-06T00:44:21Z,78.50
2025-08-06T00:44:24Z,78.50
2025-08-06T00:44:28Z,76.50
2025-08-06T00:44:30Z,75.60
2025-08-06T00:44:34Z,75.60
2025-08-06T00:44:37Z,75.60
2025-08-06T00:44:40Z,75.60
2025-08-06T00:44:43Z,77.80
2025-08-06T00:44:46Z,81.00
2025-08-06T00:44:50Z,81.00
2025-08-06T00:44:52Z,80.80
2025-08-06T00:44:56Z,81.10
2025-08-06T00:44:59Z,80.80
2025-08-06T00:45:02Z,79.00
2025-08-06T00:45:05Z,80.70
2025-08-06T00:45:09Z,81.10
2025-08-06T00:45:12Z,81.10
2025-08-06T00:45:15Z,81.10
2025-08-06T00:45:18Z,81.10
2025-08-06T00:45:21Z,81.10
2025-08-06T00:45:24Z,81.10
2025-08-06T00:45:27Z,84.10
2025-08-06T00:45:30Z,84.40
2025-08-06T00:45:34Z,84.40
2025-08-06T00:45:36Z,84.40
2025-08-06T00:45:42Z,80.50
2025-08-06T00:45:44Z,68.40
2025-08-06T00:45:50Z,64.10
2025-08-06T00:45:54Z,59.10
2025-08-06T00:45:56Z,60.80
2025-08-06T00:45:58Z,65.80
2025-08-06T23:43:04Z,68.50
2025-08-06T23:43:10Z,76.50
2025-08-06T23:43:13Z,82.50
2025-08-06T23:43:16Z,84.40
2025-08-06T23:43:19Z,84.40
2025-08-06T23:43:23Z,84.40
2025-08-06T23:43:26Z,84.40
2025-08-06T23:43:29Z,84.00
2025-08-06T23:43:32Z,82.90
2025-08-06T23:43:35Z,84.40
2025-08-06T23:43:38Z,84.40
2025-08-06T23:43:41Z,84.40
2025-08-06T23:43:45Z,84.40
2025-08-06T23:43:48Z,84.40
2025-08-06T23:43:51Z,84.40
2025-08-06T23:43:54Z,83.30
2025-08-06T23:43:58Z,84.40
2025-08-06T23:44:00Z,84.40
2025-08-06T23:44:04Z,84.40
2025-08-06T23:44:07Z,84.40
2025-08-06T23:44:10Z,84.40
2025-08-06T23:44:13Z,84.40
2025-08-06T23:44:16Z,87.00
2025-08-06T23:44:19Z,87.00
2025-08-06T23:44:22Z,87.00
2025-08-06T23:44:25Z,86.90
2025-08-06T23:44:28Z,86.90
2025-08-06T23:44:32Z,91.90
2025-08-06T23:44:34Z,92.40
2025-08-06T23:44:38Z,92.40
2025-08-06T23:44:41Z,92.40
2025-08-06T23:44:43Z,92.40
2025-08-06T23:44:48Z,89.10
2025-08-06T23:44:51Z,82.40
2025-08-06T23:44:54Z,92.40
2025-08-06T23:44:57Z,92.40
2025-08-06T23:45:00Z,92.40
2025-08-06T23:45:03Z,92.40
2025-08-06T23:45:06Z,92.40
2025-08-06T23:45:09Z,88.90
2025-08-06T23:45:12Z,91.80
2025-08-06T23:45:15Z,91.20
2025-08-06T23:45:18Z,92.40
2025-08-06T23:45:21Z,91.80
2025-08-06T23:45:25Z,91.80
2025-08-06T23:45:28Z,96.40
2025-08-06T23:45:30Z,96.60
2025-08-06T23:45:34Z,99.10
2025-08-06T23:45:37Z,95.30
2025-08-06T23:45:40Z,99.10
2025-08-06T23:45:43Z,97.30
2025-08-06T23:45:46Z,95.80
2025-08-06T23:45:49Z,94.20
2025-08-06T23:45:52Z,97.50
2025-08-06T23:45:55Z,96.40
2025-08-06T23:45:58Z,96.80
2025-08-06T23:46:01Z,93.80
2025-08-06T23:46:04Z,92.30
2025-08-06T23:46:08Z,93.80
2025-08-06T23:46:11Z,91.60
2025-08-06T23:46:13Z,90.10
2025-08-06T23:46:17Z,90.90
2025-08-06T23:46:20Z,90.90
2025-08-06T23:46:23Z,92.30
2025-08-06T23:46:26Z,91.60
2025-08-06T23:46:36Z,68.50
2025-08-06T23:46:38Z,70.60
2025-08-06T23:46:41Z,80.10
2025-08-06T23:46:44Z,93.80
2025-08-06T23:46:47Z,93.80
2025-08-06T23:46:50Z,93.80
2025-08-06T23:46:53Z,93.80
2025-08-06T23:46:56Z,93.80
2025-08-06T23:46:59Z,93.80
2025-08-06T23:47:02Z,93.80
2025-08-06T23:47:05Z,93.80
2025-08-06T23:47:08Z,93.80
2025-08-06T23:47:11Z,93.80
2025-08-06T23:47:15Z,92.30
2025-08-06T23:47:18Z,93.10
2025-08-06T23:47:20Z,93.10
2025-08-06T23:47:24Z,90.80
2025-08-06T23:47:27Z,88.60
2025-08-06T23:47:30Z,89.00
2025-08-06T23:47:33Z,88.10
2025-08-06T23:47:36Z,88.60
2025-08-06T23:47:39Z,89.40
2025-08-06T23:47:41Z,87.70
2025-08-06T23:47:45Z,88.10
2025-08-06T23:47:48Z,86.40
2025-08-06T23:47:52Z,86.40
2025-08-06T23:47:54Z,88.10
2025-08-06T23:47:58Z,88.10
2025-08-06T23:48:01Z,93.70
2025-08-06T23:48:04Z,95.00
2025-08-06T23:48:07Z,93.30
2025-08-06T23:48:10Z,94.60
2025-08-06T23:48:13Z,94.10
2025-08-06T23:48:16Z,92.00
2025-08-06T23:48:19Z,92.10
2025-08-06T23:48:22Z,92.10
2025-08-06T23:48:25Z,87.60
2025-08-06T23:48:28Z,90.70
2025-08-06T23:48:31Z,90.70
2025-08-06T23:48:35Z,91.10
2025-08-06T23:48:38Z,92.00
2025-08-06T23:48:41Z,91.50
2025-08-06T23:48:44Z,92.10
2025-08-06T23:48:47Z,92.00
2025-08-06T23:48:50Z,91.50
2025-08-06T23:48:53Z,90.40
2025-08-06T23:48:56Z,89.90
2025-08-06T23:48:59Z,90.00
2025-08-06T23:49:02Z,89.60
2025-08-06T23:49:06Z,89.90
2025-08-06T23:49:15Z,70.80
2025-08-06T23:49:20Z,66.90
2025-08-06T23:49:21Z,65.40
2025-08-06T23:49:25Z,71.30
2025-08-06T23:49:27Z,71.30
2025-08-06T23:49:30Z,70.40
2025-08-06T23:49:33Z,70.40
2025-08-06T23:49:37Z,70.50
2025-08-06T23:49:39Z,71.60
2025-08-06T23:49:43Z,71.70
2025-08-06T23:49:46Z,70.70
2025-08-06T23:49:50Z,69.70
2025-08-06T23:49:53Z,65.90
2025-08-06T23:49:56Z,67.20
2025-08-06T23:50:00Z,64.40
2025-08-06T23:50:02Z,60.90
2025-08-06T23:50:07Z,63.30
2025-08-06T23:50:09Z,61.60
2025-08-06T23:50:12Z,62.10
2025-08-06T23:50:21Z,84.60
2025-08-06T23:50:24Z,85.60
2025-08-06T23:50:27Z,84.60
2025-08-06T23:50:30Z,83.60
2025-08-06T23:50:33Z,77.10
2025-08-06T23:50:37Z,77.80
2025-08-06T23:50:40Z,90.70
2025-08-06T23:50:43Z,88.50
2025-08-06T23:50:46Z,89.70
2025-08-06T23:50:49Z,90.70
2025-08-06T23:50:52Z,90.70
2025-08-06T23:50:55Z,86.40
2025-08-06T23:50:59Z,83.40
2025-08-06T23:51:02Z,82.00
2025-08-06T23:51:05Z,85.40
2025-08-06T23:51:08Z,85.40
2025-08-06T23:51:11Z,85.60
2025-08-06T23:51:14Z,87.20
2025-08-06T23:51:18Z,87.20
2025-08-06T23:51:21Z,87.20
2025-08-06T23:51:24Z,86.50
2025-08-06T23:51:27Z,87.50
2025-08-06T23:51:30Z,85.80
2025-08-06T23:51:33Z,88.10
2025-08-06T23:51:36Z,88.70
2025-08-06T23:51:39Z,88.40
2025-08-06T23:51:43Z,88.50
2025-08-06T23:51:46Z,88.50
2025-08-06T23:51:49Z,89.40
2025-08-06T23:51:52Z,88.80
2025-08-06T23:51:55Z,88.10
2025-08-06T23:51:58Z,88.10
2025-08-06T23:52:01Z,81.20
2025-08-06T23:52:06Z,66.40
2025-08-06T23:52:08Z,62.10
2025-08-06T23:52:12Z,68.20
2025-08-06T23:52:15Z,66.20
2025-08-06T23:52:18Z,61.90
2025-08-06T23:52:22Z,61.60
2025-08-06T23:52:25Z,63.80
2025-08-06T23:52:30Z,62.80
2025-08-06T23:52:32Z,61.60
2025-08-06T23:52:36Z,60.70
2025-08-06T23:54:05Z,61.40
2025-08-06T23:54:08Z,59.70
2025-08-06T23:54:11Z,59.40
2025-08-06T23:56:01Z,59.20
2025-08-06T23:56:04Z,64.20
2025-08-06T23:56:09Z,65.60
2025-08-06T23:56:10Z,61.00
2025-08-06T23:58:14Z,57.00
2025-08-06T23:58:19Z,57.60
2025-08-06T23:58:22Z,58.20
2025-08-06T23:58:25Z,58.50
2025-08-06T23:58:28Z,58.80
2025-08-06T23:58:30Z,67.80
2025-08-06T23:59:18Z,73.80
2025-08-06T23:59:20Z,76.10
