timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds
2024-12-07T00:25:00Z,41.421,0.0
2024-12-07T00:30:00Z,42.39,0.0
2024-12-07T00:35:00Z,52.909,0.0
2024-12-07T00:40:00Z,40.973,0.0
2024-12-07T00:45:00Z,44.77,0.0
2024-12-07T00:50:00Z,36.225,0.0
2024-12-07T00:55:00Z,32.818,0.0
2024-12-07T01:00:00Z,34.534,0.0
2024-12-07T01:05:00Z,31.318,0.0
2024-12-07T01:10:00Z,32.142,0.0
2024-12-07T01:15:00Z,36.545,0.0
2024-12-07T01:20:00Z,34.547,0.0
2024-12-07T01:25:00Z,32.644,0.0
2024-12-07T01:30:00Z,32.597,0.0
2024-12-07T01:35:00Z,35.431,0.0
2024-12-07T01:40:00Z,39.551,0.0
2024-12-07T01:45:00Z,39.949,0.0
2024-12-07T01:50:00Z,45.247,0.0
2024-12-07T01:55:00Z,34.509,0.0
2024-12-07T02:00:00Z,35.796,0.0
2024-12-07T02:05:00Z,33.345,0.0
2024-12-07T02:10:00Z,30.729,0.0
2024-12-07T02:15:00Z,39.061,0.0
2024-12-07T02:20:00Z,45.663,0.0
2024-12-07T02:25:00Z,34.596,0.0
2024-12-07T02:30:00Z,23.454,0.0
2024-12-07T02:35:00Z,26.025,0.0
2024-12-07T02:40:00Z,40.577,0.0
2024-12-07T02:45:00Z,39.997,0.0
2024-12-07T02:50:00Z,36.484,0.0
2024-12-07T02:55:00Z,34.489,0.0
2024-12-07T03:00:00Z,35.696,0.0
2024-12-07T03:05:00Z,29.448,0.0
2024-12-07T03:10:00Z,25.581,0.0
2024-12-07T03:15:00Z,25.531,0.0
2024-12-07T03:20:00Z,24.194,0.0
2024-12-07T03:25:00Z,25.053,0.0
2024-12-07T03:30:00Z,27.631,0.0
2024-12-07T03:35:00Z,27.525,0.0
2024-12-07T03:40:00Z,49.324,0.0
2024-12-07T03:45:00Z,20.691,0.0
2024-12-07T03:50:00Z,14.343,0.0
2024-12-07T03:55:00Z,19.233,0.0
2024-12-07T04:00:00Z,18.405,0.0
2024-12-07T04:05:00Z,29.837,0.0
2024-12-07T04:10:00Z,32.866,0.0
2024-12-07T04:15:00Z,36.039,0.0
2024-12-07T04:20:00Z,40.64,0.0
2024-12-12T22:40:00Z,55.453,0.0
2024-12-12T22:45:00Z,62.85,0.0
2024-12-12T22:50:00Z,51.604,0.0
2024-12-12T22:55:00Z,56.677,0.0
2024-12-12T23:00:00Z,63.15,0.0
2024-12-12T23:05:00Z,56.445,0.0
2024-12-12T23:10:00Z,43.095,0.0
2024-12-12T23:15:00Z,50.929,0.0
2024-12-12T23:20:00Z,63.592,0.0
2024-12-12T23:25:00Z,68.505,0.0
2024-12-12T23:30:00Z,61.496,0.0
2024-12-12T23:35:00Z,66.241,0.0
2024-12-12T23:40:00Z,57.964,0.0
2024-12-12T23:45:00Z,58.108,0.0
2024-12-12T23:50:00Z,46.797,0.0
2024-12-12T23:55:00Z,23.183,0.0
2024-12-13T00:00:00Z,31.674,0.0
2024-12-13T00:05:00Z,28.785,0.0
2024-12-13T00:10:00Z,30.133,0.0
2024-12-13T00:15:00Z,31.828,0.0
2024-12-13T00:20:00Z,30.746,0.0
2024-12-13T00:25:00Z,37.962,0.0
2024-12-13T00:30:00Z,46.998,0.0
2024-12-13T00:35:00Z,51.134,0.0
2024-12-13T00:40:00Z,49.72,0.0
2024-12-13T00:45:00Z,46.719,0.0
2024-12-13T00:50:00Z,57.457,0.0
2024-12-13T00:55:00Z,50.82,0.0
2024-12-13T01:00:00Z,61.06,0.0
2024-12-13T01:05:00Z,48.418,0.0
2024-12-13T01:10:00Z,47.604,0.0
2024-12-13T01:15:00Z,46.504,0.0
2024-12-13T01:20:00Z,43.723,0.0
2024-12-13T01:25:00Z,44.294,0.0
2024-12-13T01:30:00Z,41.471,0.0
2024-12-13T01:35:00Z,48.081,0.0
2024-12-13T01:50:00Z,14.934,0.0
2024-12-13T01:55:00Z,14.688,0.0
2024-12-13T02:00:00Z,24.006,0.0
2024-12-13T02:05:00Z,35.323,0.0
2024-12-13T02:10:00Z,27.541,0.0
2024-12-13T02:15:00Z,27.242,0.0
2024-12-13T02:20:00Z,35.388,0.0
2024-12-13T02:25:00Z,39.516,0.0
2024-12-13T02:30:00Z,34.516,0.0
2024-12-13T02:35:00Z,45.51,0.0
2024-12-13T02:40:00Z,35.514,0.0
2024-12-13T02:45:00Z,28.448,0.0
2024-12-13T02:50:00Z,32.497,0.0
2024-12-13T02:55:00Z,39.769,0.0
2024-12-13T03:00:00Z,46.923,0.0
2024-12-13T03:05:00Z,36.534,0.0
2024-12-13T03:10:00Z,36.58,0.0
2024-12-13T03:15:00Z,44.727,0.0
2024-12-13T03:20:00Z,45.983,0.0
2024-12-13T03:25:00Z,52.851,0.0
2024-12-13T03:30:00Z,31.625,0.0
2024-12-13T03:35:00Z,16.337,0.0
2024-12-13T03:40:00Z,13.65,0.0
2024-12-13T03:45:00Z,21.988,0.0
2024-12-13T03:55:00Z,30.753,0.0
2024-12-13T04:00:00Z,33.55,0.0
2024-12-13T04:05:00Z,44.966,0.0
2024-12-13T04:10:00Z,36.483,0.0
2024-12-13T04:15:00Z,35.727,0.0
2024-12-13T04:20:00Z,35.927,0.0
2024-12-13T04:25:00Z,39.181,0.0
2024-12-23T00:45:00Z,29.866,0.0
2024-12-23T00:50:00Z,26.381,0.0
2024-12-23T00:55:00Z,46.652,0.0
2024-12-23T01:00:00Z,50.889,0.0
2024-12-23T01:05:00Z,31.492,0.0
2024-12-23T01:10:00Z,42.348,0.0
2024-12-23T01:15:00Z,30.746,0.0
2024-12-23T01:20:00Z,34.49,0.0
2024-12-23T01:25:00Z,30.099,0.0
2024-12-23T01:30:00Z,28.901,0.0
2024-12-23T01:35:00Z,31.348,0.0
2024-12-23T01:40:00Z,51.672,0.0
2024-12-23T01:45:00Z,49.048,0.0
2024-12-23T01:50:00Z,54.78,0.0
2024-12-23T01:55:00Z,50.146,0.0
2024-12-23T02:00:00Z,43.295,0.0
2024-12-23T02:05:00Z,12.756,0.0
2024-12-23T02:10:00Z,14.279,0.0
2024-12-23T02:15:00Z,30.948,0.0
2024-12-23T02:20:00Z,37.932,0.0
2024-12-23T02:25:00Z,39.999,0.0
2024-12-23T02:30:00Z,26.008,0.0
2024-12-23T02:35:00Z,30.46,0.0
2024-12-23T02:40:00Z,26.673,0.0
2024-12-23T02:45:00Z,24.58,0.0
2024-12-23T02:50:00Z,30.119,0.0
2024-12-23T02:55:00Z,49.143,0.0
2024-12-23T03:00:00Z,31.119,0.0
2024-12-23T03:05:00Z,40.115,0.0
2024-12-23T03:10:00Z,30.924,0.0
2024-12-23T03:15:00Z,23.92,0.0
2024-12-23T03:20:00Z,41.642,0.0
2024-12-23T03:25:00Z,40.69,0.0
2024-12-23T03:30:00Z,29.934,0.0
2024-12-23T03:35:00Z,14.805,0.0
2024-12-23T03:40:00Z,10.264,0.0
2024-12-23T03:45:00Z,14.167,0.0
2024-12-23T03:50:00Z,14.843,0.0
2024-12-23T03:55:00Z,23.433,0.0
2024-12-23T04:05:00Z,27.556,0.0
2024-12-23T04:10:00Z,28.687,0.0
2024-12-23T04:15:00Z,27.987,0.0
2024-12-23T04:20:00Z,28.203,0.0
2024-12-23T04:25:00Z,27.912,0.0
2024-12-23T04:30:00Z,30.53,0.0
2024-12-23T04:35:00Z,27.392,0.0
2024-12-23T04:40:00Z,25.451,0.0
2024-12-23T04:45:00Z,36.282,0.0
2024-12-23T04:50:00Z,42.33,0.0
2024-12-23T04:55:00Z,31.015,0.0
2024-12-23T05:00:00Z,36.337,0.0
2024-12-23T05:05:00Z,35.305,0.0
2024-12-23T05:10:00Z,35.424,0.0
2024-12-23T05:15:00Z,29.745,0.0
2024-12-23T05:20:00Z,18.178,0.0
2024-12-23T05:25:00Z,12.145,0.0
2024-12-23T05:30:00Z,12.574,0.0
2024-12-23T05:35:00Z,17.442,0.0
2024-12-23T05:40:00Z,29.371,0.0
2024-12-23T05:45:00Z,20.377,0.0
2024-12-23T05:50:00Z,18.831,0.0
2024-12-23T05:55:00Z,17.091,0.0
2024-12-23T06:00:00Z,27.321,0.0
2024-12-23T06:05:00Z,35.237,0.0
2024-12-23T06:10:00Z,41.562,0.0
2024-12-23T23:45:00Z,45.468,0.0
2024-12-23T23:50:00Z,43.465,0.0
2024-12-23T23:55:00Z,40.324,0.0
2024-12-24T00:00:00Z,36.214,0.0
2024-12-24T00:05:00Z,37.698,0.0
2024-12-24T00:10:00Z,32.635,0.0
2024-12-24T00:15:00Z,31.346,0.0
2024-12-24T00:20:00Z,31.754,0.0
2024-12-24T00:25:00Z,33.856,0.0
2024-12-24T00:30:00Z,35.242,0.0
2024-12-24T00:35:00Z,50.781,0.0
2024-12-24T00:40:00Z,54.474,0.0
2024-12-24T00:45:00Z,43.637,0.0
2024-12-24T00:50:00Z,24.744,0.0
2024-12-24T00:55:00Z,28.315,0.0
2024-12-24T01:00:00Z,31.067,0.0
2024-12-24T01:05:00Z,29.656,0.0
2024-12-24T01:10:00Z,52.188,0.0
2024-12-24T01:15:00Z,55.786,0.0
2024-12-24T01:20:00Z,46.968,0.0
2024-12-24T01:25:00Z,51.042,0.0
2024-12-24T01:30:00Z,42.028,0.0
2024-12-24T01:35:00Z,37.199,0.0
2024-12-24T01:40:00Z,37.772,0.0
2024-12-24T01:45:00Z,35.468,0.0
2024-12-24T01:50:00Z,36.492,0.0
2024-12-24T01:55:00Z,44.635,0.0
2024-12-24T02:00:00Z,43.373,0.0
2024-12-24T02:05:00Z,44.96,0.0
2024-12-24T02:10:00Z,41.299,0.0
2024-12-24T02:15:00Z,53.337,0.0
2024-12-24T02:20:00Z,42.565,0.0
2024-12-24T02:25:00Z,35.634,0.0
2024-12-24T02:30:00Z,21.794,0.0
2024-12-24T02:35:00Z,17.623,0.0
2024-12-24T02:40:00Z,23.803,0.0
2024-12-24T02:45:00Z,33.164,0.0
2024-12-24T02:50:00Z,34.316,0.0
2024-12-24T03:00:00Z,32.818,0.0
2024-12-24T03:10:00Z,40.46,0.0
2024-12-24T03:15:00Z,44.626,0.0
2024-12-24T03:20:00Z,54.346,0.0
2024-12-24T03:25:00Z,42.508,0.0
2024-12-24T03:30:00Z,31.176,0.0
2024-12-24T03:35:00Z,32.691,0.0
2024-12-24T03:40:00Z,35.456,0.0
2024-12-24T03:45:00Z,39.297,0.0
2024-12-24T03:50:00Z,40.771,0.0
2024-12-24T03:55:00Z,45.557,0.0
2024-12-24T04:00:00Z,45.677,0.0
2024-12-24T04:05:00Z,39.62,0.0
2024-12-24T04:10:00Z,43.584,0.0
2024-12-24T04:15:00Z,43.331,0.0
2024-12-24T04:20:00Z,26.894,0.0
2024-12-24T04:25:00Z,16.474,0.0
2024-12-24T04:30:00Z,28.692,0.0
2024-12-24T04:35:00Z,27.661,0.0
2024-12-25T03:25:00Z,20.244,0.0
2024-12-25T03:30:00Z,22.567,0.0
2024-12-25T03:35:00Z,17.849,0.0
2024-12-25T03:40:00Z,17.619,0.0
2024-12-25T03:45:00Z,17.398,0.0
2024-12-25T03:50:00Z,18.176,0.0
2024-12-25T03:55:00Z,15.95,0.0
2024-12-25T04:00:00Z,19.195,0.0
2024-12-25T04:05:00Z,13.84,0.0
2024-12-25T04:10:00Z,13.553,0.0
2024-12-25T04:15:00Z,13.994,0.0
2024-12-25T04:20:00Z,19.223,0.0
2024-12-25T04:25:00Z,17.699,0.0
2024-12-25T04:30:00Z,11.946,0.0
2024-12-25T04:35:00Z,11.152,0.0
2024-12-25T04:40:00Z,15.653,0.0
2024-12-25T04:45:00Z,13.671,0.0
2024-12-25T04:50:00Z,12.174,0.0
2024-12-25T04:55:00Z,12.68,0.0
2024-12-25T05:00:00Z,14.631,0.0
2024-12-25T05:05:00Z,15.306,0.0
2024-12-25T05:10:00Z,15.19,0.0
2024-12-25T05:15:00Z,18.943,0.0
2024-12-25T05:20:00Z,20.885,0.0
2024-12-25T05:25:00Z,19.607,0.0
2024-12-25T05:30:00Z,14.505,0.0
2024-12-25T05:35:00Z,11.939,0.0
2024-12-25T05:40:00Z,11.338,0.0
2024-12-25T05:45:00Z,10.95,0.0
2024-12-25T05:50:00Z,10.755,0.0
2024-12-25T05:55:00Z,9.007,0.0
2024-12-25T06:00:00Z,11.809,0.0
2024-12-25T06:05:00Z,13.93,0.0
2024-12-25T06:10:00Z,12.928,0.0
2024-12-25T06:15:00Z,18.026,0.0
2024-12-25T06:20:00Z,15.394,0.0
2024-12-25T06:25:00Z,11.493,0.0
2024-12-25T06:30:00Z,12.717,0.0
2024-12-25T06:35:00Z,10.867,0.0
2024-12-25T06:40:00Z,9.691,0.0
2024-12-25T06:45:00Z,10.122,0.0
2024-12-25T06:50:00Z,10.366,0.0
2024-12-26T22:05:00Z,45.389,0.0
2024-12-26T22:10:00Z,56.014,0.0
2024-12-26T22:15:00Z,53.174,0.0
2024-12-26T22:20:00Z,55.808,0.0
2024-12-26T22:25:00Z,51.13,0.0
2024-12-26T22:30:00Z,49.307,0.0
2024-12-26T22:35:00Z,50.167,0.0
2024-12-26T22:40:00Z,42.549,0.0
2024-12-26T22:45:00Z,62.794,0.0
2024-12-26T23:10:00Z,48.806,0.0
2024-12-26T23:15:00Z,52.068,0.0
2024-12-26T23:20:00Z,44.574,0.0
2024-12-26T23:25:00Z,48.742,0.0
2024-12-26T23:30:00Z,58.204,0.0
2024-12-26T23:35:00Z,65.32,0.0
2024-12-26T23:40:00Z,61.559,0.0
2024-12-26T23:45:00Z,62.406,0.0
2024-12-26T23:55:00Z,37.664,0.0
2024-12-27T00:00:00Z,48.868,0.0
2024-12-27T00:05:00Z,46.274,0.0
2024-12-27T00:10:00Z,43.966,0.0
2024-12-27T00:15:00Z,45.507,0.0
2024-12-27T00:20:00Z,38.851,0.0
2024-12-27T00:25:00Z,41.015,0.0
2024-12-27T00:30:00Z,75.538,0.0
2024-12-27T00:35:00Z,46.958,0.0
2024-12-27T00:40:00Z,24.351,0.0
2024-12-27T00:45:00Z,28.151,0.0
2024-12-27T00:50:00Z,39.105,0.0
2024-12-27T01:00:00Z,39.994,0.0
2024-12-27T01:05:00Z,48.399,0.0
2024-12-27T01:10:00Z,34.444,0.0
2024-12-27T01:15:00Z,34.36,0.0
2024-12-27T01:20:00Z,40.034,0.0
2024-12-27T01:25:00Z,59.58,0.0
2024-12-27T01:30:00Z,60.201,0.0
2024-12-27T01:35:00Z,53.318,0.0
2024-12-27T01:40:00Z,70.089,0.0
2024-12-27T01:45:00Z,67.471,0.0
2024-12-27T01:50:00Z,59.51,0.0
2024-12-27T01:55:00Z,67.967,0.0
2024-12-27T02:00:00Z,67.007,0.0
2024-12-27T02:05:00Z,57.615,0.0
2024-12-27T02:10:00Z,57.772,0.0
2024-12-27T02:15:00Z,68.037,0.0
2024-12-27T02:20:00Z,49.606,0.0
2024-12-27T02:25:00Z,22.605,0.0
2024-12-27T02:30:00Z,24.546,0.0
2024-12-27T02:35:00Z,28.267,0.0
2024-12-27T02:40:00Z,36.763,0.0
2024-12-27T02:45:00Z,38.42,0.0
2024-12-27T02:50:00Z,45.776,0.0
2024-12-27T02:55:00Z,48.248,0.0
2024-12-27T03:00:00Z,48.755,0.0
2024-12-27T03:05:00Z,51.67,0.0
2024-12-27T03:10:00Z,44.346,0.0
2024-12-27T03:15:00Z,41.1,0.0
2024-12-27T03:20:00Z,39.807,0.0
2024-12-27T03:25:00Z,43.301,0.0
2024-12-27T03:30:00Z,34.809,0.0
2024-12-27T03:35:00Z,51.232,0.0
2024-12-27T03:40:00Z,51.887,0.0
2024-12-27T03:50:00Z,43.298,0.0
2024-12-27T03:55:00Z,47.869,0.0
2024-12-27T04:00:00Z,34.402,0.0
2024-12-27T04:05:00Z,20.011,0.0
2024-12-27T04:10:00Z,22.655,0.0
2024-12-27T04:15:00Z,32.98,0.0
2024-12-27T04:20:00Z,22.315,0.0
2024-12-27T04:25:00Z,52.023,0.0
2024-12-27T04:30:00Z,45.152,0.0
2024-12-27T04:35:00Z,41.238,0.0
2024-12-27T04:40:00Z,35.947,0.0
2024-12-29T21:20:00Z,58.224,0.0
2024-12-29T21:25:00Z,59.34,0.0
2024-12-29T21:30:00Z,48.806,0.0
2024-12-29T21:35:00Z,44.735,0.0
2024-12-29T21:40:00Z,42.248,0.0
2024-12-29T21:45:00Z,54.711,0.0
2024-12-29T21:50:00Z,40.236,0.0
2024-12-29T21:55:00Z,38.643,0.0
2024-12-29T22:00:00Z,43.599,0.0
2024-12-29T22:05:00Z,40.562,0.0
2024-12-29T22:10:00Z,23.385,0.0
2024-12-29T22:15:00Z,45.733,0.0
2024-12-29T22:20:00Z,34.786,0.0
2024-12-29T22:25:00Z,56.618,0.0
2024-12-29T22:30:00Z,57.569,0.0
2024-12-29T22:40:00Z,51.007,0.0
2024-12-29T22:45:00Z,48.453,0.0
2024-12-29T22:50:00Z,58.134,0.0
2024-12-29T22:55:00Z,46.299,0.0
2024-12-29T23:10:00Z,58.721,0.0
2024-12-29T23:15:00Z,58.613,0.0
2024-12-29T23:20:00Z,54.525,0.0
2024-12-29T23:25:00Z,61.776,0.0
2024-12-29T23:30:00Z,65.411,0.0
2024-12-29T23:35:00Z,55.172,0.0
2024-12-29T23:40:00Z,70.059,0.0
2024-12-29T23:45:00Z,53.605,0.0
2024-12-29T23:50:00Z,35.502,0.0
2024-12-29T23:55:00Z,44.22,0.0
2024-12-30T00:00:00Z,26.439,0.0
2024-12-30T00:05:00Z,33.182,0.0
