timestamp,heart rate zone,total minutes
2023-06-16T07:56:00Z,fat burn,1
2023-06-16T07:57:00Z,fat burn,1
2023-06-16T07:58:00Z,fat burn,1
2023-06-16T07:59:00Z,fat burn,1
2023-06-16T08:00:00Z,fat burn,1
2023-06-16T08:01:00Z,fat burn,1
2023-06-16T08:02:00Z,fat burn,1
2023-06-16T08:03:00Z,fat burn,1
2023-06-16T08:04:00Z,fat burn,1
2023-06-16T08:05:00Z,fat burn,1
2023-06-16T08:06:00Z,fat burn,1
2023-06-16T08:12:00Z,fat burn,1
2023-06-16T08:14:00Z,fat burn,1
2023-06-16T08:15:00Z,fat burn,1
2023-06-20T07:11:00Z,fat burn,1
2023-06-20T07:12:00Z,cardio,2
2023-06-20T07:13:00Z,cardio,2
2023-06-20T07:14:00Z,peak,2
2023-06-20T07:15:00Z,cardio,2
2023-06-20T07:16:00Z,fat burn,1
2023-06-20T07:17:00Z,fat burn,1
2023-06-20T07:18:00Z,fat burn,1
2023-06-20T07:19:00Z,fat burn,1
2023-06-20T07:20:00Z,cardio,2
2023-06-20T07:21:00Z,cardio,2
2023-06-20T07:22:00Z,fat burn,1
2023-06-20T07:23:00Z,cardio,2
2023-06-20T07:24:00Z,cardio,2
2023-06-20T07:25:00Z,cardio,2
2023-06-20T07:26:00Z,fat burn,1
2023-06-20T07:27:00Z,fat burn,1
2023-06-20T07:28:00Z,fat burn,1
2023-06-20T07:29:00Z,fat burn,1
2023-06-20T07:30:00Z,fat burn,1
2023-06-20T07:31:00Z,fat burn,1
2023-06-20T07:32:00Z,fat burn,1
2023-06-20T07:33:00Z,cardio,2
2023-06-20T07:34:00Z,cardio,2
2023-06-20T07:35:00Z,cardio,2
2023-06-20T07:36:00Z,fat burn,1
2023-06-20T07:37:00Z,fat burn,1
2023-06-20T07:38:00Z,fat burn,1
2023-06-20T07:39:00Z,cardio,2
2023-06-20T07:40:00Z,cardio,2
2023-06-20T07:41:00Z,cardio,2
2023-06-20T07:43:00Z,fat burn,1
2023-06-20T07:44:00Z,fat burn,1
2023-06-20T07:45:00Z,cardio,2
2023-06-20T07:46:00Z,cardio,2
2023-06-20T07:47:00Z,fat burn,1
2023-06-20T07:48:00Z,fat burn,1
2023-06-20T07:49:00Z,fat burn,1
2023-06-20T07:50:00Z,fat burn,1
2023-06-20T07:51:00Z,fat burn,1
2023-06-20T07:52:00Z,fat burn,1
2023-06-20T07:53:00Z,fat burn,1
2023-06-20T07:54:00Z,cardio,2
2023-06-20T07:55:00Z,fat burn,1
2023-06-20T07:56:00Z,fat burn,1
2023-06-20T07:57:00Z,fat burn,1
2023-06-20T07:58:00Z,cardio,2
2023-06-20T07:59:00Z,cardio,2
2023-06-20T08:00:00Z,cardio,2
2023-06-20T08:01:00Z,cardio,2
