timestamp,distance
2025-04-10T14:03:00Z,84.00
2025-04-10T14:04:00Z,82.40
2025-04-10T14:05:00Z,89.50
2025-04-10T14:06:00Z,83.90
2025-04-10T14:07:00Z,85.90
2025-04-10T14:08:00Z,86.10
2025-04-10T14:09:00Z,10.20
2025-04-10T14:10:00Z,46.60
2025-04-10T14:11:00Z,69.20
2025-04-10T14:12:00Z,78.20
2025-04-10T14:13:00Z,91.70
2025-04-10T14:14:00Z,93.90
2025-04-10T14:15:00Z,88.30
2025-04-10T14:16:00Z,84.20
2025-04-10T14:17:00Z,84.90
2025-04-10T14:18:00Z,87.10
2025-04-10T14:19:00Z,81.30
2025-04-10T14:20:00Z,81.00
2025-04-10T14:21:00Z,80.00
2025-04-10T14:22:00Z,39.90
2025-04-10T14:23:00Z,70.60
2025-04-10T14:24:00Z,47.80
2025-04-10T14:25:00Z,38.40
2025-04-10T14:26:00Z,73.90
2025-04-10T14:27:00Z,84.90
2025-04-10T14:28:00Z,53.60
2025-04-10T14:31:00Z,56.10
2025-04-10T14:32:00Z,43.40
2025-04-10T14:33:00Z,82.30
2025-04-10T14:34:00Z,84.40
2025-04-10T14:35:00Z,85.50
2025-04-10T14:36:00Z,83.90
2025-04-10T14:37:00Z,81.80
2025-04-10T14:38:00Z,83.70
2025-04-10T14:39:00Z,80.60
2025-04-10T14:40:00Z,41.50
2025-04-10T14:41:00Z,49.10
2025-04-10T14:42:00Z,29.10
2025-04-10T14:43:00Z,11.50
2025-04-10T14:46:00Z,53.60
2025-04-10T14:47:00Z,76.20
2025-04-10T14:48:00Z,5.20
2025-04-10T15:26:00Z,37.60
2025-04-10T15:27:00Z,11.90
2025-04-10T15:52:00Z,9.00
2025-04-10T15:53:00Z,54.30
2025-04-10T15:54:00Z,15.00
2025-04-10T15:55:00Z,22.80
2025-04-10T15:56:00Z,7.50
2025-04-10T16:08:00Z,14.80
2025-04-10T16:09:00Z,59.60
2025-04-10T16:10:00Z,77.30
2025-04-10T16:11:00Z,66.20
2025-04-10T16:12:00Z,62.80
2025-04-10T16:13:00Z,5.10
2025-04-10T16:14:00Z,53.00
2025-04-10T16:21:00Z,4.70
2025-04-10T16:22:00Z,42.30
2025-04-10T16:51:00Z,60.70
2025-04-10T16:52:00Z,55.10
2025-04-10T16:53:00Z,64.00
2025-04-10T16:54:00Z,56.60
2025-04-10T16:55:00Z,42.10
2025-04-10T16:56:00Z,74.00
2025-04-10T16:57:00Z,3.80
2025-04-10T16:58:00Z,13.20
2025-04-10T16:59:00Z,29.00
2025-04-10T17:01:00Z,13.90
2025-04-10T17:02:00Z,21.10
2025-04-10T17:33:00Z,17.70
2025-04-10T17:34:00Z,83.70
2025-04-10T17:35:00Z,85.30
2025-04-10T17:36:00Z,80.60
2025-04-10T17:37:00Z,24.90
2025-04-10T17:50:00Z,6.80
2025-04-10T18:00:00Z,14.00
2025-04-10T18:01:00Z,55.60
2025-04-10T18:02:00Z,54.00
2025-04-10T18:06:00Z,20.90
2025-04-10T18:07:00Z,46.80
2025-04-10T18:08:00Z,72.60
2025-04-10T18:09:00Z,53.20
2025-04-10T18:10:00Z,26.00
2025-04-10T18:11:00Z,69.30
2025-04-10T18:12:00Z,82.20
2025-04-10T18:13:00Z,71.70
2025-04-10T18:14:00Z,50.60
2025-04-10T18:15:00Z,53.90
2025-04-10T18:16:00Z,23.50
2025-04-10T18:29:00Z,3.70
2025-04-10T18:36:00Z,8.30
2025-04-10T18:38:00Z,39.20
2025-04-10T18:42:00Z,34.50
2025-04-10T18:43:00Z,60.30
2025-04-10T18:44:00Z,6.20
2025-04-10T18:45:00Z,47.90
2025-04-10T18:46:00Z,55.20
2025-04-10T18:47:00Z,45.40
2025-04-10T18:48:00Z,30.30
2025-04-10T18:49:00Z,61.00
2025-04-10T18:50:00Z,82.60
2025-04-10T18:51:00Z,33.00
2025-04-10T18:52:00Z,17.10
2025-04-10T18:53:00Z,64.70
2025-04-10T18:54:00Z,70.70
2025-04-10T18:55:00Z,39.40
2025-04-10T19:12:00Z,27.80
2025-04-10T19:13:00Z,78.20
2025-04-10T19:14:00Z,77.70
2025-04-10T19:15:00Z,71.40
2025-04-10T19:16:00Z,17.00
2025-04-10T19:17:00Z,43.60
2025-04-10T19:37:00Z,5.20
2025-04-10T19:43:00Z,12.80
2025-04-10T19:44:00Z,6.00
2025-04-10T19:46:00Z,4.50
2025-04-10T19:50:00Z,7.80
2025-04-10T19:54:00Z,0.95
2025-04-10T19:55:00Z,3.70
2025-04-10T20:01:00Z,4.60
2025-04-10T20:05:00Z,9.60
2025-04-10T20:06:00Z,9.00
2025-04-10T20:07:00Z,34.90
2025-04-10T20:08:00Z,36.40
2025-04-10T20:09:00Z,40.90
