timestamp,speed
2025-07-31T00:43:48Z,9.35
2025-07-31T00:43:49Z,9.33
2025-07-31T00:43:50Z,9.33
2025-07-31T00:43:51Z,9.33
2025-07-31T00:43:52Z,9.32
2025-07-31T00:43:53Z,9.31
2025-07-31T00:43:54Z,9.33
2025-07-31T00:43:55Z,9.32
2025-07-31T00:43:56Z,9.29
2025-07-31T00:43:57Z,9.26
2025-07-31T00:43:58Z,9.22
2025-07-31T00:43:59Z,9.23
2025-07-31T00:44:00Z,9.12
2025-07-31T00:44:01Z,9.02
2025-07-31T00:44:02Z,8.97
2025-07-31T00:44:03Z,8.94
2025-07-31T00:44:04Z,8.83
2025-07-31T00:44:05Z,8.74
2025-07-31T00:44:06Z,8.75
2025-07-31T00:44:07Z,8.75
2025-07-31T00:44:08Z,8.72
2025-07-31T00:44:09Z,8.73
2025-07-31T00:44:10Z,8.75
2025-07-31T00:44:11Z,8.70
2025-07-31T00:44:12Z,8.69
2025-07-31T00:44:13Z,8.69
2025-07-31T00:44:14Z,8.72
2025-07-31T00:44:15Z,8.68
2025-07-31T00:44:16Z,8.66
2025-07-31T00:44:17Z,8.74
2025-07-31T00:44:18Z,8.81
2025-07-31T00:44:19Z,8.83
2025-07-31T00:44:20Z,8.91
2025-07-31T00:44:21Z,9.00
2025-07-31T00:44:22Z,8.99
2025-07-31T00:44:23Z,9.00
2025-07-31T00:44:24Z,9.04
2025-07-31T00:44:25Z,9.08
2025-07-31T00:44:26Z,9.10
2025-07-31T00:44:27Z,9.14
2025-07-31T00:44:28Z,9.18
2025-07-31T00:44:29Z,9.21
2025-07-31T00:44:30Z,9.19
2025-07-31T00:44:31Z,9.18
2025-07-31T00:44:32Z,9.15
2025-07-31T00:44:33Z,9.18
2025-07-31T00:44:34Z,9.14
2025-07-31T00:44:35Z,9.17
2025-07-31T00:44:36Z,9.19
2025-07-31T00:44:37Z,9.21
2025-07-31T00:44:38Z,9.24
2025-07-31T00:44:39Z,9.25
2025-07-31T00:44:40Z,9.25
2025-07-31T00:44:41Z,9.24
2025-07-31T00:44:42Z,9.25
2025-07-31T00:44:43Z,9.25
2025-07-31T00:44:44Z,9.23
2025-07-31T00:44:45Z,9.23
2025-07-31T00:44:46Z,9.23
2025-07-31T00:44:47Z,9.22
2025-07-31T00:44:48Z,9.22
2025-07-31T00:44:49Z,9.19
2025-07-31T00:44:50Z,9.18
2025-07-31T00:44:51Z,9.18
2025-07-31T00:44:52Z,9.14
2025-07-31T00:44:53Z,9.11
2025-07-31T00:44:54Z,9.10
2025-07-31T00:44:55Z,9.09
2025-07-31T00:44:56Z,9.08
2025-07-31T00:44:57Z,9.09
2025-07-31T00:44:58Z,9.10
2025-07-31T00:44:59Z,9.09
2025-07-31T00:45:00Z,9.07
2025-07-31T00:45:01Z,9.07
2025-07-31T00:45:02Z,9.07
2025-07-31T00:45:03Z,9.06
2025-07-31T00:45:04Z,9.07
