timestamp,workout,background,total
2025-06-09T19:35:00Z,0.0,0.27,0.27
2025-06-09T19:37:00Z,0.0,0.23,0.23
2025-06-09T19:39:00Z,0.0,0.26,0.26
2025-06-09T19:40:00Z,0.0,0.28,0.28
2025-06-09T19:44:00Z,0.0,0.55,0.55
2025-06-09T19:45:00Z,0.0,0.31,0.31
2025-06-09T19:46:00Z,0.0,0.65,0.65
2025-06-09T19:47:00Z,0.0,0.27,0.27
2025-06-09T19:49:00Z,0.0,0.24,0.24
2025-06-09T19:50:00Z,0.0,0.66,0.66
2025-06-09T19:51:00Z,0.0,0.36,0.36
2025-06-09T19:52:00Z,0.0,0.76,0.76
2025-06-09T19:53:00Z,0.0,0.86,0.86
2025-06-09T19:54:00Z,0.0,0.6899,0.6899
2025-06-09T19:55:00Z,0.0,0.35,0.35
2025-06-09T19:56:00Z,0.0,0.29,0.29
2025-06-09T19:57:00Z,0.0,0.29,0.29
2025-06-09T19:58:00Z,0.0,0.31,0.31
2025-06-09T19:59:00Z,0.0,0.85,0.85
2025-06-09T20:00:00Z,0.0,0.34,0.34
2025-06-09T20:01:00Z,0.0,0.35,0.35
2025-06-09T20:02:00Z,0.0,0.76,0.76
2025-06-09T20:03:00Z,0.0,0.7,0.7
2025-06-09T20:04:00Z,0.0,0.31,0.31
2025-06-09T20:05:00Z,0.0,0.34,0.34
2025-06-09T20:06:00Z,0.0,1.15,1.15
2025-06-09T20:07:00Z,0.0,0.59,0.59
2025-06-09T20:08:00Z,0.0,0.71,0.71
2025-06-09T20:09:00Z,0.0,0.63,0.63
2025-06-09T20:10:00Z,0.0,0.7,0.7
2025-06-09T20:11:00Z,0.0,0.33,0.33
2025-06-09T20:12:00Z,0.0,0.28,0.28
2025-06-09T20:13:00Z,0.0,0.25,0.25
2025-06-09T20:16:00Z,0.0,0.28,0.28
2025-06-09T20:18:00Z,0.0,0.23,0.23
2025-06-09T20:19:00Z,0.0,0.27,0.27
2025-06-09T20:20:00Z,0.0,0.31,0.31
2025-06-09T20:21:00Z,0.0,0.61,0.61
2025-06-09T20:22:00Z,0.0,0.27,0.27
2025-06-09T20:23:00Z,0.0,0.33,0.33
2025-06-09T20:24:00Z,0.0,0.29,0.29
2025-06-09T20:25:00Z,0.0,0.26,0.26
2025-06-09T20:26:00Z,0.0,0.25,0.25
2025-06-09T20:27:00Z,0.0,0.33,0.33
2025-06-09T20:28:00Z,0.0,0.97,0.97
2025-06-09T20:29:00Z,0.0,0.27,0.27
2025-06-09T20:30:00Z,0.0,0.29,0.29
2025-06-09T20:31:00Z,0.0,0.27,0.27
2025-06-09T20:32:00Z,0.0,0.29,0.29
2025-06-09T20:35:00Z,0.0,0.24,0.24
2025-06-09T20:36:00Z,0.0,0.29,0.29
2025-06-09T20:37:00Z,0.0,0.24,0.24
2025-06-09T20:38:00Z,0.0,0.23,0.23
2025-06-09T20:39:00Z,0.0,0.26,0.26
2025-06-09T20:40:00Z,0.0,0.6899,0.6899
2025-06-09T20:41:00Z,0.0,0.3,0.3
2025-06-09T20:42:00Z,0.0,0.24,0.24
2025-06-09T20:44:00Z,0.0,0.25,0.25
2025-06-09T20:55:00Z,0.0,0.25,0.25
2025-06-09T20:56:00Z,0.0,0.24,0.24
2025-06-09T21:00:00Z,0.0,0.78,0.78
2025-06-09T21:04:00Z,0.0,0.24,0.24
2025-06-09T21:05:00Z,0.0,0.28,0.28
2025-06-09T21:06:00Z,0.0,0.62,0.62
2025-06-09T21:07:00Z,0.0,0.28,0.28
2025-06-09T21:08:00Z,0.0,0.26,0.26
2025-06-09T21:09:00Z,0.0,0.23,0.23
2025-06-09T21:28:00Z,0.0,0.28,0.28
2025-06-09T21:29:00Z,0.0,0.3,0.3
2025-06-09T21:30:00Z,0.0,0.31,0.31
2025-06-09T21:31:00Z,0.0,0.28,0.28
2025-06-09T21:32:00Z,0.0,0.26,0.26
2025-06-09T21:40:00Z,0.0,0.23,0.23
2025-06-09T21:43:00Z,0.0,0.79,0.79
2025-06-09T21:44:00Z,0.0,0.58,0.58
2025-06-09T21:46:00Z,0.0,0.23,0.23
2025-06-09T21:47:00Z,0.0,0.24,0.24
2025-06-09T21:48:00Z,0.0,0.28,0.28
2025-06-09T23:25:00Z,0.0,0.56,0.56
2025-06-09T23:26:00Z,0.0,0.28,0.28
2025-06-09T23:28:00Z,0.0,0.25,0.25
2025-06-10T08:59:00Z,0.0,0.56,0.56
2025-06-10T09:00:00Z,0.0,0.32,0.32
2025-06-10T16:12:00Z,0.0,0.25,0.25
2025-06-10T16:40:00Z,0.0,0.26,0.26
2025-06-10T16:58:00Z,0.0,0.24,0.24
2025-06-10T16:59:00Z,0.0,0.25,0.25
2025-06-11T01:11:00Z,0.0,0.73,0.73
2025-06-11T01:12:00Z,0.0,0.36,0.36
2025-06-11T01:13:00Z,0.0,0.92,0.92
2025-06-11T01:14:00Z,0.0,0.26,0.26
2025-06-11T01:16:00Z,0.32,0.0,0.32
2025-06-11T01:18:00Z,0.26,0.0,0.26
2025-06-11T01:19:00Z,0.75,0.0,0.75
2025-06-11T01:20:00Z,0.33,0.0,0.33
2025-06-11T01:22:00Z,1.28,0.0,1.28
2025-06-11T01:23:00Z,0.34,0.0,0.34
2025-06-11T01:24:00Z,0.73,0.0,0.73
2025-06-11T01:25:00Z,0.31,0.0,0.31
