timestamp,steps per minute
2025-07-31T00:42:58Z,189
2025-07-31T00:42:59Z,188
2025-07-31T00:43:00Z,189
2025-07-31T00:43:01Z,188
2025-07-31T00:43:02Z,188
2025-07-31T00:43:03Z,189
2025-07-31T00:43:04Z,188
2025-07-31T00:43:05Z,188
2025-07-31T00:43:06Z,189
2025-07-31T00:43:07Z,189
2025-07-31T00:43:08Z,190
2025-07-31T00:43:09Z,189
2025-07-31T00:43:10Z,190
2025-07-31T00:43:11Z,190
2025-07-31T00:43:12Z,191
2025-07-31T00:43:13Z,190
2025-07-31T00:43:14Z,191
2025-07-31T00:43:15Z,193
2025-07-31T00:43:16Z,192
2025-07-31T00:43:17Z,191
2025-07-31T00:43:18Z,191
2025-07-31T00:43:19Z,191
2025-07-31T00:43:20Z,191
2025-07-31T00:43:21Z,192
2025-07-31T00:43:22Z,192
2025-07-31T00:43:23Z,192
2025-07-31T00:43:24Z,193
2025-07-31T00:43:25Z,193
2025-07-31T00:43:26Z,193
2025-07-31T00:43:27Z,193
2025-07-31T00:43:28Z,194
2025-07-31T00:43:29Z,195
2025-07-31T00:43:30Z,195
2025-07-31T00:43:31Z,193
2025-07-31T00:43:32Z,194
2025-07-31T00:43:33Z,194
2025-07-31T00:43:34Z,193
2025-07-31T00:43:35Z,194
2025-07-31T00:43:36Z,193
2025-07-31T00:43:37Z,192
2025-07-31T00:43:38Z,193
2025-07-31T00:43:39Z,193
2025-07-31T00:43:40Z,193
2025-07-31T00:43:41Z,194
2025-07-31T00:43:42Z,193
2025-07-31T00:43:43Z,194
2025-07-31T00:43:44Z,193
2025-07-31T00:43:45Z,193
2025-07-31T00:43:46Z,193
2025-07-31T00:43:47Z,193
2025-07-31T00:43:48Z,193
2025-07-31T00:43:49Z,193
2025-07-31T00:43:50Z,193
2025-07-31T00:43:51Z,193
2025-07-31T00:43:52Z,192
2025-07-31T00:43:53Z,192
2025-07-31T00:43:54Z,192
2025-07-31T00:43:55Z,191
2025-07-31T00:43:56Z,187
2025-07-31T00:43:57Z,186
2025-07-31T00:43:58Z,189
2025-07-31T00:43:59Z,190
2025-07-31T00:44:00Z,191
2025-07-31T00:44:01Z,192
2025-07-31T00:44:02Z,191
2025-07-31T00:44:03Z,191
2025-07-31T00:44:04Z,191
2025-07-31T00:44:05Z,191
2025-07-31T00:44:06Z,191
2025-07-31T00:44:07Z,190
2025-07-31T00:44:08Z,191
2025-07-31T00:44:09Z,191
2025-07-31T00:44:10Z,189
2025-07-31T00:44:11Z,189
2025-07-31T00:44:12Z,190
2025-07-31T00:44:13Z,191
2025-07-31T00:44:14Z,189
2025-07-31T00:44:15Z,184
2025-07-31T00:44:16Z,184
2025-07-31T00:44:17Z,185
2025-07-31T00:44:18Z,187
2025-07-31T00:44:19Z,188
2025-07-31T00:44:20Z,188
2025-07-31T00:44:21Z,188
2025-07-31T00:44:22Z,189
2025-07-31T00:44:23Z,191
2025-07-31T00:44:24Z,190
2025-07-31T00:44:25Z,191
2025-07-31T00:44:26Z,192
2025-07-31T00:44:27Z,192
2025-07-31T00:44:28Z,191
2025-07-31T00:44:29Z,192
2025-07-31T00:44:30Z,191
2025-07-31T00:44:31Z,192
2025-07-31T00:44:32Z,192
2025-07-31T00:44:33Z,191
2025-07-31T00:44:34Z,192
2025-07-31T00:44:35Z,193
2025-07-31T00:44:36Z,194
2025-07-31T00:44:37Z,194
2025-07-31T00:44:38Z,194
2025-07-31T00:44:39Z,194
2025-07-31T00:44:40Z,195
2025-07-31T00:44:41Z,194
2025-07-31T00:44:42Z,194
2025-07-31T00:44:43Z,193
2025-07-31T00:44:44Z,194
2025-07-31T00:44:45Z,193
2025-07-31T00:44:46Z,193
2025-07-31T00:44:47Z,194
2025-07-31T00:44:48Z,194
2025-07-31T00:44:49Z,193
2025-07-31T00:44:50Z,193
2025-07-31T00:44:51Z,194
2025-07-31T00:44:52Z,194
2025-07-31T00:44:53Z,194
2025-07-31T00:44:54Z,193
2025-07-31T00:44:55Z,193
2025-07-31T00:44:56Z,194
2025-07-31T00:44:57Z,194
2025-07-31T00:44:58Z,194
2025-07-31T00:44:59Z,193
2025-07-31T00:45:00Z,193
2025-07-31T00:45:01Z,193
2025-07-31T00:45:02Z,193
2025-07-31T00:45:03Z,194
2025-07-31T00:45:04Z,194
2025-07-31T00:45:05Z,194
2025-07-31T00:45:06Z,193
2025-07-31T00:45:07Z,194
2025-07-31T00:45:08Z,194
2025-07-31T00:45:09Z,194
2025-07-31T00:45:10Z,194
2025-07-31T00:45:11Z,194
2025-07-31T00:45:12Z,194
2025-07-31T00:45:13Z,195
2025-07-31T00:45:14Z,194
2025-07-31T00:45:15Z,193
2025-07-31T00:45:16Z,193
2025-07-31T00:45:17Z,193
2025-07-31T00:45:18Z,193
2025-07-31T00:45:19Z,194
2025-07-31T00:45:20Z,194
2025-07-31T00:45:21Z,193
2025-07-31T00:45:22Z,194
2025-07-31T00:45:23Z,195
2025-07-31T00:45:24Z,195
2025-07-31T00:45:25Z,195
2025-07-31T00:45:26Z,195
2025-07-31T00:45:27Z,194
2025-07-31T00:45:28Z,193
2025-07-31T00:45:29Z,192
2025-07-31T00:45:30Z,192
2025-07-31T00:45:31Z,192
2025-07-31T00:45:32Z,192
2025-07-31T00:45:33Z,192
2025-07-31T00:45:34Z,192
2025-07-31T00:45:35Z,193
2025-07-31T00:45:36Z,192
2025-07-31T00:45:37Z,193
2025-07-31T00:45:38Z,193
2025-07-31T00:45:39Z,192
2025-07-31T00:45:40Z,192
2025-07-31T00:45:41Z,193
2025-07-31T00:45:42Z,192
2025-07-31T00:45:43Z,193
2025-07-31T00:45:44Z,194
2025-07-31T00:45:45Z,194
2025-07-31T00:45:46Z,194
2025-07-31T00:45:47Z,194
2025-07-31T00:45:48Z,194
2025-07-31T00:45:49Z,192
2025-07-31T00:45:50Z,193
2025-07-31T00:45:51Z,192
2025-07-31T00:45:52Z,191
2025-07-31T00:45:53Z,191
2025-07-31T00:45:54Z,190
2025-07-31T00:45:55Z,190
2025-07-31T00:45:56Z,190
2025-07-31T00:45:57Z,189
2025-07-31T00:45:58Z,188
2025-07-31T00:45:59Z,188
2025-07-31T00:46:00Z,190
2025-07-31T00:46:01Z,191
2025-07-31T00:46:02Z,190
2025-07-31T00:46:03Z,190
2025-07-31T00:46:04Z,190
2025-07-31T00:46:05Z,190
2025-07-31T00:46:06Z,191
2025-07-31T00:46:07Z,192
2025-07-31T00:46:08Z,192
2025-07-31T00:46:09Z,192
2025-07-31T00:46:10Z,194
2025-07-31T00:46:11Z,193
2025-07-31T00:46:12Z,192
2025-07-31T00:46:13Z,193
2025-07-31T00:46:14Z,191
2025-07-31T00:46:15Z,191
2025-07-31T00:46:16Z,192
2025-07-31T00:46:17Z,191
2025-07-31T00:46:18Z,190
2025-07-31T00:46:19Z,181
2025-07-31T00:46:20Z,167
