timestamp,light,moderate,very
2024-07-15T02:18:00Z,1,0,0
2024-07-15T02:20:00Z,1,0,0
2024-07-15T02:21:00Z,1,0,0
2024-07-15T02:22:00Z,1,0,0
2024-07-15T02:23:00Z,1,0,0
2024-07-15T02:24:00Z,1,0,0
2024-07-15T02:39:00Z,1,0,0
2024-07-15T02:41:00Z,1,0,0
2024-07-15T02:42:00Z,1,0,0
2024-07-15T02:43:00Z,1,0,0
2024-07-15T02:45:00Z,1,0,0
2024-07-15T02:46:00Z,1,0,0
2024-07-15T02:47:00Z,1,0,0
2024-07-15T02:48:00Z,1,0,0
2024-07-15T16:10:00Z,1,0,0
2024-07-15T16:50:00Z,1,0,0
2024-07-15T16:51:00Z,1,0,0
2024-07-15T16:53:00Z,1,0,0
2024-07-15T16:54:00Z,1,0,0
2024-07-15T17:00:00Z,1,0,0
2024-07-15T17:01:00Z,1,0,0
2024-07-15T17:02:00Z,1,0,0
2024-07-15T17:03:00Z,1,0,0
2024-07-15T17:06:00Z,1,0,0
2024-07-16T08:00:00Z,1,0,0
2024-07-16T10:55:00Z,1,0,0
2024-07-16T10:56:00Z,1,0,0
2024-07-16T10:57:00Z,1,0,0
2024-07-16T10:58:00Z,1,0,0
2024-07-16T10:59:00Z,0,0,1
2024-07-16T11:00:00Z,0,0,1
2024-07-16T11:01:00Z,0,0,1
2024-07-16T11:02:00Z,0,0,1
2024-07-16T11:03:00Z,0,0,1
2024-07-16T11:04:00Z,0,0,1
2024-07-16T11:05:00Z,0,0,1
2024-07-16T11:06:00Z,0,0,1
2024-07-16T11:07:00Z,0,0,1
2024-07-16T11:08:00Z,0,0,1
2024-07-16T11:09:00Z,0,0,1
2024-07-16T11:10:00Z,0,0,1
2024-07-16T11:11:00Z,0,0,1
2024-07-16T11:12:00Z,0,0,1
2024-07-16T11:13:00Z,0,0,1
2024-07-16T11:14:00Z,0,0,1
2024-07-16T11:15:00Z,0,0,1
2024-07-16T11:16:00Z,0,0,1
2024-07-16T11:17:00Z,0,0,1
2024-07-16T11:18:00Z,0,0,1
2024-07-16T11:19:00Z,0,0,1
2024-07-16T11:20:00Z,0,0,1
2024-07-16T11:21:00Z,0,0,1
2024-07-16T11:22:00Z,0,0,1
2024-07-16T11:23:00Z,0,0,1
2024-07-16T11:24:00Z,0,0,1
2024-07-16T11:25:00Z,0,0,1
2024-07-16T11:26:00Z,0,0,1
2024-07-16T11:27:00Z,0,0,1
2024-07-16T11:28:00Z,0,0,1
2024-07-16T11:29:00Z,0,0,1
2024-07-16T11:30:00Z,0,0,1
2024-07-16T11:31:00Z,0,0,1
2024-07-16T11:32:00Z,0,0,1
2024-07-16T11:33:00Z,0,0,1
2024-07-16T11:34:00Z,0,0,1
2024-07-16T11:35:00Z,0,0,1
2024-07-16T11:36:00Z,0,0,1
2024-07-16T11:37:00Z,0,0,1
2024-07-16T11:38:00Z,0,0,1
2024-07-16T11:39:00Z,0,0,1
2024-07-16T11:40:00Z,0,0,1
2024-07-16T11:41:00Z,0,0,1
2024-07-16T11:42:00Z,0,0,1
2024-07-16T11:43:00Z,0,0,1
2024-07-16T11:44:00Z,0,0,1
2024-07-16T11:45:00Z,0,0,1
2024-07-16T11:46:00Z,0,0,1
2024-07-16T11:47:00Z,0,0,1
2024-07-16T11:48:00Z,0,0,1
2024-07-16T11:49:00Z,0,0,1
2024-07-16T11:50:00Z,0,0,1
2024-07-16T11:51:00Z,0,0,1
2024-07-16T11:52:00Z,0,0,1
2024-07-16T11:53:00Z,0,0,1
2024-07-16T11:54:00Z,0,0,1
2024-07-16T11:55:00Z,0,0,1
2024-07-16T11:56:00Z,0,0,1
2024-07-16T11:57:00Z,0,0,1
2024-07-16T11:58:00Z,0,0,1
2024-07-16T11:59:00Z,0,0,1
2024-07-16T12:00:00Z,0,0,1
2024-07-16T12:01:00Z,0,0,1
2024-07-16T12:02:00Z,0,0,1
2024-07-16T12:03:00Z,0,0,1
2024-07-16T12:04:00Z,0,0,1
2024-07-16T12:05:00Z,0,0,1
2024-07-16T12:06:00Z,0,0,1
2024-07-16T12:07:00Z,0,0,1
2024-07-16T12:08:00Z,0,0,1
2024-07-16T12:09:00Z,0,0,1
2024-07-16T12:10:00Z,0,0,1
2024-07-16T12:11:00Z,0,0,1
2024-07-16T12:12:00Z,0,0,1
2024-07-16T12:13:00Z,0,0,1
2024-07-16T12:14:00Z,0,0,1
2024-07-16T12:15:00Z,0,0,1
2024-07-16T12:16:00Z,0,0,1
2024-07-16T12:17:00Z,0,0,1
2024-07-16T12:18:00Z,0,0,1
2024-07-16T12:19:00Z,0,0,1
2024-07-16T12:20:00Z,0,0,1
2024-07-16T12:21:00Z,0,0,1
