name,objectives,schedule,status,update_time
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-07 00:00:00 - 2025-07-08 00:00:00,ENABLED,2025-07-06 23:37:06+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-08 00:00:00 - 2025-07-09 00:00:00,ENABLED,2025-07-07 22:31:06+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-09 00:00:00 - 2025-07-10 00:00:00,ENABLED,2025-07-09 00:50:28+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-10 00:00:00 - 2025-07-11 00:00:00,ENABLED,2025-07-09 18:12:31+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-10 00:00:00 - 2025-07-11 00:00:00,ENABLED,2025-07-09 23:07:53+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-11 00:00:00 - 2025-07-12 00:00:00,ENABLED,2025-07-10 17:54:39+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-11 00:00:00 - 2025-07-12 00:00:00,ENABLED,2025-07-10 21:53:08+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-11 00:00:00 - 2025-07-12 00:00:00,ENABLED,2025-07-10 23:31:19+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-11 00:00:00 - 2025-07-12 00:00:00,ENABLED,2025-07-10 23:31:19+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 31)",2025-07-11 00:00:00 - 2025-07-12 00:00:00,ENABLED,2025-07-10 23:31:20+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 32)",2024-10-20 00:00:00 - 2024-10-21 00:00:00,ENABLED,2024-10-20 12:18:54+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 34)",2025-01-06 00:00:00 - 2025-01-07 00:00:00,ENABLED,2025-01-06 10:52:11+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 43)",2025-08-03 00:00:00 - 2025-08-04 00:00:00,ENABLED,2025-08-02 21:44:48+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 43)",2025-08-03 00:00:00 - 2025-08-04 00:00:00,ENABLED,2025-08-02 21:46:12+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 43)",2025-08-03 00:00:00 - 2025-08-04 00:00:00,ENABLED,2025-08-02 23:58:34+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 43)",2025-08-03 00:00:00 - 2025-08-04 00:00:00,ENABLED,2025-08-03 00:01:14+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 45)",2025-07-20 00:00:00 - 2025-07-21 00:00:00,ENABLED,2025-07-21 08:47:19+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 45)",2025-07-21 00:00:00 - 2025-07-22 00:00:00,ENABLED,2025-07-21 08:46:45+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 45)",2025-07-21 00:00:00 - 2025-07-22 00:00:00,ENABLED,2025-07-21 09:17:43+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 45)",2025-07-22 00:00:00 - 2025-07-23 00:00:00,ENABLED,2025-07-21 21:47:54+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 45)",2025-07-22 00:00:00 - 2025-07-23 00:00:00,ENABLED,2025-07-22 00:03:47+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 45)",2025-07-22 00:00:00 - 2025-07-23 00:00:00,ENABLED,2025-07-22 00:03:47+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 45)",2025-07-22 00:00:00 - 2025-07-23 00:00:00,ENABLED,2025-07-22 00:03:47+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 46)",2025-07-23 00:00:00 - 2025-07-24 00:00:00,ENABLED,2025-07-23 00:07:15+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 46)",2025-07-24 00:00:00 - 2025-07-25 00:00:00,ENABLED,2025-07-23 23:15:07+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 46)",2025-07-24 00:00:00 - 2025-07-25 00:00:00,ENABLED,2025-07-23 23:50:01+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 46)",2025-07-25 00:00:00 - 2025-07-26 00:00:00,ENABLED,2025-07-24 17:46:26+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 46)",2025-07-25 00:00:00 - 2025-07-26 00:00:00,ENABLED,2025-07-24 22:59:59+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 49)",2024-10-13 00:00:00 - 2024-10-14 00:00:00,ENABLED,2024-10-13 13:16:42+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(113, 146)",2024-10-08 00:00:00 - 2024-10-09 00:00:00,ENABLED,2024-10-08 09:45:52+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(114, 133)",2024-11-13 00:00:00 - 2024-11-14 00:00:00,ENABLED,2024-11-13 10:54:57+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(119, 157)",2025-08-06 00:00:00 - 2025-08-07 00:00:00,ENABLED,2025-08-06 22:28:05+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(121, 159)",2025-08-06 00:00:00 - 2025-08-07 00:00:00,ENABLED,2025-08-05 22:52:10+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(121, 159)",2025-08-06 00:00:00 - 2025-08-07 00:00:00,ENABLED,2025-08-05 23:41:14+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(121, 165)",2024-10-25 00:00:00 - 2024-10-26 00:00:00,ENABLED,2024-10-25 09:53:34+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(122, 141)",2024-12-09 00:00:00 - 2024-12-10 00:00:00,ENABLED,2024-12-09 10:50:01+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(122, 155)",2024-10-06 00:00:00 - 2024-10-07 00:00:00,ENABLED,2024-10-06 19:40:16+0000
